GRID_OID,PLAIN,HILL,MOUNTAIN,PLAIN_M,HILL_M,MOUNTAIN_M,TOTAL_M
15894,5,3,0,0.625,0.375,0.0,1
15898,16,2,0,0.888888889,0.111111111,0.0,1
15899,3,15,2,0.15,0.75,0.1,1
15900,0,8,11,0.0,0.421052632,0.578947368,1
15901,10,10,0,0.5,0.5,0.0,1
15902,19,1,0,0.95,0.05,0.0,1
15903,19,1,0,0.95,0.05,0.0,1
15904,10,10,0,0.5,0.5,0.0,1
15920,0,15,0,0.0,1.0,0.0,1
15921,0,17,2,0.0,0.894736842,0.105263158,1
15922,0,19,1,0.0,0.95,0.05,1
15923,4,3,0,0.571428571,0.428571429,0.0,1
16072,5,0,0,1.0,0.0,0.0,1
16073,19,0,0,1.0,0.0,0.0,1
16074,17,2,0,0.894736842,0.105263158,0.0,1
16075,10,10,0,0.5,0.5,0.0,1
16076,1,19,0,0.05,0.95,0.0,1
16077,2,17,0,0.105263158,0.894736842,0.0,1
16078,0,19,1,0.0,0.95,0.05,1
16079,1,14,4,0.052631579,0.736842105,0.210526316,1
16080,0,19,0,0.0,1.0,0.0,1
16081,0,17,3,0.0,0.85,0.15,1
16082,4,16,0,0.2,0.8,0.0,1
16083,0,17,3,0.0,0.85,0.15,1
16084,0,0,20,0.0,0.0,1.0,1
16085,0,0,20,0.0,0.0,1.0,1
16086,0,0,20,0.0,0.0,1.0,1
16087,0,0,20,0.0,0.0,1.0,1
16088,0,0,20,0.0,0.0,1.0,1
16089,0,0,19,0.0,0.0,1.0,1
16090,0,4,15,0.0,0.210526316,0.789473684,1
16091,1,6,13,0.05,0.3,0.65,1
16092,0,7,13,0.0,0.35,0.65,1
16093,0,0,20,0.0,0.0,1.0,1
16094,0,0,20,0.0,0.0,1.0,1
16095,0,0,19,0.0,0.0,1.0,1
16096,0,0,20,0.0,0.0,1.0,1
16097,0,3,17,0.0,0.15,0.85,1
16098,0,5,15,0.0,0.25,0.75,1
16099,0,0,20,0.0,0.0,1.0,1
16100,0,4,15,0.0,0.210526316,0.789473684,1
16101,0,12,8,0.0,0.6,0.4,1
16102,0,18,2,0.0,0.9,0.1,1
16103,0,16,3,0.0,0.842105263,0.157894737,1
16104,0,19,0,0.0,1.0,0.0,1
16105,6,14,0,0.3,0.7,0.0,1
16106,16,0,0,1.0,0.0,0.0,1
16107,3,0,0,1.0,0.0,0.0,1
16110,0,3,0,0.0,1.0,0.0,1
16111,5,13,2,0.25,0.65,0.1,1
16112,0,19,2,0.0,0.904761905,0.095238095,1
16113,0,19,0,0.0,1.0,0.0,1
16114,0,20,0,0.0,1.0,0.0,1
16115,5,14,0,0.263157895,0.736842105,0.0,1
16116,3,8,1,0.25,0.666666667,0.083333333,1
16117,0,8,0,0.0,1.0,0.0,1
16118,3,8,0,0.272727273,0.727272727,0.0,1
16119,10,0,0,1.0,0.0,0.0,1
16121,4,3,0,0.571428571,0.428571429,0.0,1
16122,10,6,0,0.625,0.375,0.0,1
16124,5,11,0,0.3125,0.6875,0.0,1
16125,7,12,0,0.368421053,0.631578947,0.0,1
16126,17,2,0,0.894736842,0.105263158,0.0,1
16127,14,6,0,0.7,0.3,0.0,1
16128,4,16,0,0.2,0.8,0.0,1
16129,2,10,7,0.105263158,0.526315789,0.368421053,1
16130,8,13,0,0.380952381,0.619047619,0.0,1
16131,13,7,0,0.65,0.35,0.0,1
16132,10,9,0,0.526315789,0.473684211,0.0,1
16133,12,8,0,0.6,0.4,0.0,1
16139,4,6,0,0.4,0.6,0.0,1
16142,3,4,0,0.428571429,0.571428571,0.0,1
16144,0,14,0,0.0,1.0,0.0,1
