GRID_OID,ROCK,NON_ROCK,ROCK_S,NON_ROCK_S,TOTAL_S
2197,4,0,1.0,0.0,1
2198,2,0,1.0,0.0,1
2199,4,0,1.0,0.0,1
2200,2,0,1.0,0.0,1
2201,4,0,1.0,0.0,1
2202,3,0,1.0,0.0,1
2209,0,1,0.0,1.0,1
2210,1,0,1.0,0.0,1
2211,2,0,1.0,0.0,1
2213,1,0,1.0,0.0,1
2214,4,0,1.0,0.0,1
2384,1,1,0.5,0.5,1
2385,0,2,0.0,1.0,1
2386,0,1,0.0,1.0,1
2387,0,2,0.0,1.0,1
2388,0,1,0.0,1.0,1
2389,0,2,0.0,1.0,1
2390,2,0,1.0,0.0,1
2391,1,0,1.0,0.0,1
2392,2,0,1.0,0.0,1
2393,2,0,1.0,0.0,1
2394,1,0,1.0,0.0,1
2395,2,0,1.0,0.0,1
2396,1,0,1.0,0.0,1
2397,2,0,1.0,0.0,1
2398,2,0,1.0,0.0,1
2399,1,0,1.0,0.0,1
2400,1,1,0.5,0.5,1
2401,0,1,0.0,1.0,1
2402,0,2,0.0,1.0,1
2403,2,0,1.0,0.0,1
2404,1,0,1.0,0.0,1
2405,2,0,1.0,0.0,1
2406,0,1,0.0,1.0,1
2407,1,1,0.5,0.5,1
2408,2,0,1.0,0.0,1
2409,1,0,1.0,0.0,1
2410,2,0,1.0,0.0,1
2411,1,0,1.0,0.0,1
2412,2,0,1.0,0.0,1
2413,2,0,1.0,0.0,1
2414,1,0,1.0,0.0,1
2415,2,0,1.0,0.0,1
2416,1,0,1.0,0.0,1
2417,2,0,1.0,0.0,1
2418,2,0,1.0,0.0,1
2419,1,0,1.0,0.0,1
2420,2,0,1.0,0.0,1
2421,2,0,1.0,0.0,1
2422,1,0,1.0,0.0,1
2423,2,0,1.0,0.0,1
2424,1,0,1.0,0.0,1
2425,2,0,1.0,0.0,1
2426,2,0,1.0,0.0,1
2427,1,0,1.0,0.0,1
2428,2,0,1.0,0.0,1
2429,1,0,1.0,0.0,1
2430,2,0,1.0,0.0,1
2431,2,0,1.0,0.0,1
2432,1,0,1.0,0.0,1
2443,1,0,1.0,0.0,1
2612,1,0,1.0,0.0,1
2613,1,3,0.25,0.75,1
2614,0,4,0.0,1.0,1
2615,0,2,0.0,1.0,1
2616,0,4,0.0,1.0,1
2617,0,2,0.0,1.0,1
2618,0,4,0.0,1.0,1
2619,2,2,0.5,0.5,1
2620,2,0,1.0,0.0,1
2621,4,0,1.0,0.0,1
2622,4,0,1.0,0.0,1
2623,2,0,1.0,0.0,1
2624,4,0,1.0,0.0,1
2625,2,0,1.0,0.0,1
2626,4,0,1.0,0.0,1
2627,4,0,1.0,0.0,1
2628,2,0,1.0,0.0,1
2629,4,0,1.0,0.0,1
2630,2,0,1.0,0.0,1
2631,4,0,1.0,0.0,1
2632,4,0,1.0,0.0,1
2633,2,0,1.0,0.0,1
2634,4,0,1.0,0.0,1
2635,2,0,1.0,0.0,1
2636,4,0,1.0,0.0,1
2637,4,0,1.0,0.0,1
2638,2,0,1.0,0.0,1
2639,4,0,1.0,0.0,1
2640,2,0,1.0,0.0,1
2641,4,0,1.0,0.0,1
2642,4,0,1.0,0.0,1
2643,2,0,1.0,0.0,1
2644,4,0,1.0,0.0,1
2645,2,0,1.0,0.0,1
2646,4,0,1.0,0.0,1
2647,4,0,1.0,0.0,1
2648,2,0,1.0,0.0,1
2649,4,0,1.0,0.0,1
2650,4,0,1.0,0.0,1
2651,2,0,1.0,0.0,1
2652,4,0,1.0,0.0,1
2653,2,0,1.0,0.0,1
2654,1,0,1.0,0.0,1
2656,1,0,1.0,0.0,1
2657,2,0,1.0,0.0,1
2658,2,0,1.0,0.0,1
2659,4,0,1.0,0.0,1
2660,4,0,1.0,0.0,1
2661,1,0,1.0,0.0,1
2842,0,4,0.0,1.0,1
2843,0,4,0.0,1.0,1
2844,0,2,0.0,1.0,1
2845,0,4,0.0,1.0,1
2846,0,2,0.0,1.0,1
2847,0,4,0.0,1.0,1
2848,2,2,0.5,0.5,1
2849,1,1,0.5,0.5,1
2850,2,2,0.5,0.5,1
2851,2,2,0.5,0.5,1
2852,2,0,1.0,0.0,1
2853,4,0,1.0,0.0,1
2854,2,0,1.0,0.0,1
2855,4,0,1.0,0.0,1
2856,4,0,1.0,0.0,1
2857,1,0,1.0,0.0,1
2858,1,0,1.0,0.0,1
2860,2,0,1.0,0.0,1
2861,2,0,1.0,0.0,1
2862,1,0,1.0,0.0,1
2863,2,0,1.0,0.0,1
2864,1,0,1.0,0.0,1
2865,4,0,1.0,0.0,1
2866,4,0,1.0,0.0,1
2867,2,0,1.0,0.0,1
2868,4,0,1.0,0.0,1
2869,2,0,1.0,0.0,1
2870,4,0,1.0,0.0,1
2871,4,0,1.0,0.0,1
2872,2,0,1.0,0.0,1
2873,1,3,0.25,0.75,1
2874,0,2,0.0,1.0,1
2915,1,0,1.0,0.0,1
2916,3,0,1.0,0.0,1
3071,0,2,0.0,1.0,1
3072,0,2,0.0,1.0,1
3073,0,1,0.0,1.0,1
3074,0,2,0.0,1.0,1
3075,0,1,0.0,1.0,1
3076,0,2,0.0,1.0,1
3077,0,2,0.0,1.0,1
3078,0,1,0.0,1.0,1
3079,0,2,0.0,1.0,1
3080,2,0,1.0,0.0,1
3081,1,0,1.0,0.0,1
3082,2,0,1.0,0.0,1
3083,1,0,1.0,0.0,1
3084,2,0,1.0,0.0,1
3085,2,0,1.0,0.0,1
3086,1,0,1.0,0.0,1
3095,0,2,0.0,1.0,1
3096,0,1,0.0,1.0,1
3097,0,2,0.0,1.0,1
3100,0,2,0.0,1.0,1
3102,0,1,0.0,1.0,1
3103,0,1,0.0,1.0,1
3145,1,0,1.0,0.0,1
3146,2,0,1.0,0.0,1
3150,1,0,1.0,0.0,1
3300,1,1,0.5,0.5,1
3301,2,2,0.5,0.5,1
3302,2,0,1.0,0.0,1
3303,4,0,1.0,0.0,1
3304,2,0,1.0,0.0,1
3305,3,1,0.75,0.25,1
3306,0,4,0.0,1.0,1
3307,0,2,0.0,1.0,1
3308,4,0,1.0,0.0,1
3309,4,0,1.0,0.0,1
3310,2,0,1.0,0.0,1
3311,4,0,1.0,0.0,1
3312,2,0,1.0,0.0,1
3313,3,0,1.0,0.0,1
3314,3,0,1.0,0.0,1
3337,1,0,1.0,0.0,1
3373,1,0,1.0,0.0,1
3379,4,0,1.0,0.0,1
3380,0,1,0.0,1.0,1
3529,1,0,1.0,0.0,1
3530,2,0,1.0,0.0,1
3531,1,0,1.0,0.0,1
3532,2,0,1.0,0.0,1
3533,1,0,1.0,0.0,1
3534,2,0,1.0,0.0,1
3535,2,0,1.0,0.0,1
3536,1,0,1.0,0.0,1
3537,2,0,1.0,0.0,1
3538,2,0,1.0,0.0,1
3539,1,0,1.0,0.0,1
3608,0,2,0.0,1.0,1
3609,0,2,0.0,1.0,1
3610,0,1,0.0,1.0,1
3758,2,0,1.0,0.0,1
3761,1,0,1.0,0.0,1
3762,2,0,1.0,0.0,1
3763,2,0,1.0,0.0,1
3764,2,0,1.0,0.0,1
3769,3,0,1.0,0.0,1
3770,2,0,1.0,0.0,1
3771,4,0,1.0,0.0,1
3837,0,4,0.0,1.0,1
3838,0,3,0.0,1.0,1
3987,1,0,1.0,0.0,1
3990,2,0,1.0,0.0,1
3991,2,0,1.0,0.0,1
3998,1,0,1.0,0.0,1
3999,1,0,1.0,0.0,1
4000,2,0,1.0,0.0,1
4065,2,0,1.0,0.0,1
4066,4,0,1.0,0.0,1
4067,1,0,1.0,0.0,1
4219,1,0,1.0,0.0,1
4220,1,0,1.0,0.0,1
4295,2,0,1.0,0.0,1
4448,1,0,1.0,0.0,1
4449,1,0,1.0,0.0,1
4524,2,0,1.0,0.0,1
4525,1,0,1.0,0.0,1
4754,4,0,1.0,0.0,1
4983,2,0,1.0,0.0,1
