;TRM - TERMOVALORIZZATORE DEL GERBIDO;ROBILANTE cement plant;Trino Vercellese;Colacem - Stabilimento di Caravate;Holcim (Italia) S.p.A.-unità produttiva di Ternate;TERMOVALORIZZATORE BUSTO ARSIZIO;RAFFINERIA SARPOM DI TRECATE;LOMELLINA ENERGIA;RAFFINERIA DI SANNAZZARO DE' BURGONDI;Iplom S.p.A - Raffineria di Busalla;TERMOVALORIZZATORE COMO;TERMOVALORIZZATORE DI DESIO;SILLA 2;TermoTrezzo;S.Giuliano Milanese;TERMOVALORIZZATORE DI CORTEOLONA E GENZONE;Impianto di termovalorizzazione di Valmadrera;Italcementi Calusco D'Adda;Termovalorizzatore di Dalmine;Piacenza;VERNASCA cement plant;Stabilimento di Tavernola Bergamasca;TERMOVALORIZZATORE DI BRESCIA;Italcementi di Rezzato;TERMOVALORIZZATORE - PAIP;TERMOVALORIZZAOTRE DI VERONA;HERAMBIENTE S.R.L.  - IMPIANTO DI TERMOVALORIZZAZIONE RIFIUTI NON PERICOLOSI;TERMOVALORIZZATORE DI BOLZANO;HERAMBIENTE Spa -Termovalorizzatore;FRULLO ENERGIA AMBIENTE S.R.L.;MONSELICE cement plant;Stazione Ferroviaria;Cementirossi - Cementeria di Pederobba;Impianto di Termovalorizzazione di San Lazzaro (PD);HERAMBIENTE - 3^ LINEA;STABILIMENTO DI PONTE DELLA PRIULA;Ravenna;Venezia;FANNA cement plant;Termovalorizzatore di Rimini;Impianto di Termovalorizzazione Rifiuti di Trieste;Eni S.p.A Casalborsetti;Porto Corsini
VERNASCA cement plant;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;174224.3080;0.0000;0.0000;0.0000;0.0000;184520.1720;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
Stabilimento di Tavernola Bergamasca;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;168587.0820;279941.5120;0.0000;0.0000;159563.6090;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
TERMOVALORIZZATORE DI BRESCIA;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;256733.4850;0.0000;0.0000;0.0000;135586.8990;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
Italcementi di Rezzato;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;135586.8990;0.0000;275936.2020;241384.0950;354132.5290;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
TERMOVALORIZZATORE - PAIP;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;275936.2020;0.0000;284902.9390;217690.0910;0;331992.3500;0.0000;0.0000;361678.3670;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
TERMOVALORIZZAOTRE DI VERONA;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;288320.9360;0;277638.4690;353702.1970;242664.9320;253576.1530;0.0000;268357.8740;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
HERAMBIENTE S.R.L.  - IMPIANTO DI TERMOVALORIZZAZIONE RIFIUTI NON PERICOLOSI;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;288320.9360;0.0000;0;226882.2060;184035.7060;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
TERMOVALORIZZATORE DI BOLZANO;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;401650.3140;0.0000;0;0.0000;0.0000;0.0000;0.0000;285665.2010;414195.0080;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
HERAMBIENTE Spa -Termovalorizzatore;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;186278.9640;0.0000;161153.8110;0.0000;0.0000;302752.9590;0.0000;280195.4350;0.0000;0;0.0000;0;0.0000;0.0000
FRULLO ENERGIA AMBIENTE S.R.L.;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;186278.9640;0.0000;0.0000;0.0000;0.0000;0.0000;247357.4130;0.0000;249679.4540;0.0000;0;0.0000;0;0.0000;0.0000
