MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|GR
06/01/2023 05:00:00 - 06/01/2023 06:00:00,160.08,EUR,
06/01/2023 06:00:00 - 06/01/2023 07:00:00,262.6,EUR,
06/01/2023 07:00:00 - 06/01/2023 08:00:00,203.15,EUR,
06/01/2023 08:00:00 - 06/01/2023 09:00:00,174.34,EUR,
06/01/2023 09:00:00 - 06/01/2023 10:00:00,174.14,EUR,
06/01/2023 10:00:00 - 06/01/2023 11:00:00,156.68,EUR,
06/01/2023 11:00:00 - 06/01/2023 12:00:00,147.6,EUR,
06/01/2023 12:00:00 - 06/01/2023 13:00:00,145.5,EUR,
06/01/2023 13:00:00 - 06/01/2023 14:00:00,135.45,EUR,
06/01/2023 14:00:00 - 06/01/2023 15:00:00,149.99,EUR,
06/01/2023 15:00:00 - 06/01/2023 16:00:00,227.23,EUR,
06/01/2023 16:00:00 - 06/01/2023 17:00:00,265.91,EUR,
06/01/2023 17:00:00 - 06/01/2023 18:00:00,278.12,EUR,
06/01/2023 18:00:00 - 06/01/2023 19:00:00,269.15,EUR,
06/01/2023 19:00:00 - 06/01/2023 20:00:00,295.81,EUR,
06/01/2023 20:00:00 - 06/01/2023 21:00:00,294.83,EUR,
06/01/2023 21:00:00 - 06/01/2023 22:00:00,265.18,EUR,
06/01/2023 22:00:00 - 06/01/2023 23:00:00,290.78,EUR,
06/01/2023 23:00:00 - 07/01/2023 00:00:00,263.42,EUR,
07/01/2023 00:00:00 - 07/01/2023 01:00:00,272.58,EUR,
07/01/2023 01:00:00 - 07/01/2023 02:00:00,311.0,EUR,
07/01/2023 02:00:00 - 07/01/2023 03:00:00,174.01,EUR,
07/01/2023 03:00:00 - 07/01/2023 04:00:00,173.05,EUR,
07/01/2023 04:00:00 - 07/01/2023 05:00:00,173.03,EUR,
07/01/2023 05:00:00 - 07/01/2023 06:00:00,264.46,EUR,
07/01/2023 06:00:00 - 07/01/2023 07:00:00,339.1,EUR,
07/01/2023 07:00:00 - 07/01/2023 08:00:00,344.1,EUR,
07/01/2023 08:00:00 - 07/01/2023 09:00:00,204.99,EUR,
07/01/2023 09:00:00 - 07/01/2023 10:00:00,206.09,EUR,
07/01/2023 10:00:00 - 07/01/2023 11:00:00,186.39,EUR,
07/01/2023 11:00:00 - 07/01/2023 12:00:00,178.54,EUR,
07/01/2023 12:00:00 - 07/01/2023 13:00:00,165.0,EUR,
07/01/2023 13:00:00 - 07/01/2023 14:00:00,163.94,EUR,
07/01/2023 14:00:00 - 07/01/2023 15:00:00,177.44,EUR,
07/01/2023 15:00:00 - 07/01/2023 16:00:00,216.0,EUR,
07/01/2023 16:00:00 - 07/01/2023 17:00:00,329.94,EUR,
07/01/2023 17:00:00 - 07/01/2023 18:00:00,344.1,EUR,
07/01/2023 18:00:00 - 07/01/2023 19:00:00,290.0,EUR,
07/01/2023 19:00:00 - 07/01/2023 20:00:00,298.2,EUR,
07/01/2023 20:00:00 - 07/01/2023 21:00:00,263.0,EUR,
07/01/2023 21:00:00 - 07/01/2023 22:00:00,210.0,EUR,
07/01/2023 22:00:00 - 07/01/2023 23:00:00,183.59,EUR,
07/01/2023 23:00:00 - 08/01/2023 00:00:00,210.0,EUR,
08/01/2023 00:00:00 - 08/01/2023 01:00:00,165.01,EUR,
08/01/2023 01:00:00 - 08/01/2023 02:00:00,155.73,EUR,
08/01/2023 02:00:00 - 08/01/2023 03:00:00,150.0,EUR,
08/01/2023 03:00:00 - 08/01/2023 04:00:00,179.51,EUR,
08/01/2023 04:00:00 - 08/01/2023 05:00:00,216.28,EUR,
08/01/2023 05:00:00 - 08/01/2023 06:00:00,216.3,EUR,
08/01/2023 06:00:00 - 08/01/2023 07:00:00,270.76,EUR,
08/01/2023 07:00:00 - 08/01/2023 08:00:00,263.67,EUR,
08/01/2023 08:00:00 - 08/01/2023 09:00:00,170.5,EUR,
08/01/2023 09:00:00 - 08/01/2023 10:00:00,170.14,EUR,
08/01/2023 10:00:00 - 08/01/2023 11:00:00,165.0,EUR,
08/01/2023 11:00:00 - 08/01/2023 12:00:00,150.0,EUR,
08/01/2023 12:00:00 - 08/01/2023 13:00:00,160.0,EUR,
08/01/2023 13:00:00 - 08/01/2023 14:00:00,152.4,EUR,
08/01/2023 14:00:00 - 08/01/2023 15:00:00,165.0,EUR,
08/01/2023 15:00:00 - 08/01/2023 16:00:00,216.0,EUR,
08/01/2023 16:00:00 - 08/01/2023 17:00:00,244.56,EUR,
08/01/2023 17:00:00 - 08/01/2023 18:00:00,328.16,EUR,
08/01/2023 18:00:00 - 08/01/2023 19:00:00,293.6,EUR,
08/01/2023 19:00:00 - 08/01/2023 20:00:00,341.35,EUR,
08/01/2023 20:00:00 - 08/01/2023 21:00:00,310.06,EUR,
08/01/2023 21:00:00 - 08/01/2023 22:00:00,270.1,EUR,
08/01/2023 22:00:00 - 08/01/2023 23:00:00,264.81,EUR,
08/01/2023 23:00:00 - 09/01/2023 00:00:00,211.47,EUR,
09/01/2023 00:00:00 - 09/01/2023 01:00:00,164.67,EUR,
09/01/2023 01:00:00 - 09/01/2023 02:00:00,150.0,EUR,
09/01/2023 02:00:00 - 09/01/2023 03:00:00,151.04,EUR,
09/01/2023 03:00:00 - 09/01/2023 04:00:00,100.0,EUR,
09/01/2023 04:00:00 - 09/01/2023 05:00:00,152.37,EUR,
09/01/2023 05:00:00 - 09/01/2023 06:00:00,276.68,EUR,
09/01/2023 06:00:00 - 09/01/2023 07:00:00,351.1,EUR,
09/01/2023 07:00:00 - 09/01/2023 08:00:00,351.25,EUR,
09/01/2023 08:00:00 - 09/01/2023 09:00:00,283.37,EUR,
09/01/2023 09:00:00 - 09/01/2023 10:00:00,193.39,EUR,
09/01/2023 10:00:00 - 09/01/2023 11:00:00,180.8,EUR,
09/01/2023 11:00:00 - 09/01/2023 12:00:00,178.89,EUR,
09/01/2023 12:00:00 - 09/01/2023 13:00:00,173.16,EUR,
09/01/2023 13:00:00 - 09/01/2023 14:00:00,173.77,EUR,
09/01/2023 14:00:00 - 09/01/2023 15:00:00,178.79,EUR,
09/01/2023 15:00:00 - 09/01/2023 16:00:00,183.23,EUR,
09/01/2023 16:00:00 - 09/01/2023 17:00:00,183.92,EUR,
09/01/2023 17:00:00 - 09/01/2023 18:00:00,199.16,EUR,
09/01/2023 18:00:00 - 09/01/2023 19:00:00,182.18,EUR,
09/01/2023 19:00:00 - 09/01/2023 20:00:00,180.8,EUR,
09/01/2023 20:00:00 - 09/01/2023 21:00:00,170.0,EUR,
09/01/2023 21:00:00 - 09/01/2023 22:00:00,139.63,EUR,
09/01/2023 22:00:00 - 09/01/2023 23:00:00,132.0,EUR,
09/01/2023 23:00:00 - 10/01/2023 00:00:00,99.45,EUR,
10/01/2023 00:00:00 - 10/01/2023 01:00:00,100.0,EUR,
10/01/2023 01:00:00 - 10/01/2023 02:00:00,85.79,EUR,
10/01/2023 02:00:00 - 10/01/2023 03:00:00,71.08,EUR,
