MTU (CET/CEST),Area,Day-ahead Price (EUR/MWh)
12/01/2024 05:00:00 - 12/01/2024 06:00:00,BZN|IT-North,94.76
12/01/2024 06:00:00 - 12/01/2024 07:00:00,BZN|IT-North,112.82
12/01/2024 07:00:00 - 12/01/2024 08:00:00,BZN|IT-North,129
12/01/2024 08:00:00 - 12/01/2024 09:00:00,BZN|IT-North,140.74
12/01/2024 09:00:00 - 12/01/2024 10:00:00,BZN|IT-North,134.96
12/01/2024 10:00:00 - 12/01/2024 11:00:00,BZN|IT-North,122.01
12/01/2024 11:00:00 - 12/01/2024 12:00:00,BZN|IT-North,114.73
12/01/2024 12:00:00 - 12/01/2024 13:00:00,BZN|IT-North,106.98
12/01/2024 13:00:00 - 12/01/2024 14:00:00,BZN|IT-North,103.08
12/01/2024 14:00:00 - 12/01/2024 15:00:00,BZN|IT-North,104.54
12/01/2024 15:00:00 - 12/01/2024 16:00:00,BZN|IT-North,110
12/01/2024 16:00:00 - 12/01/2024 17:00:00,BZN|IT-North,120
12/01/2024 17:00:00 - 12/01/2024 18:00:00,BZN|IT-North,127.5
12/01/2024 18:00:00 - 12/01/2024 19:00:00,BZN|IT-North,126
12/01/2024 19:00:00 - 12/01/2024 20:00:00,BZN|IT-North,119.47
12/01/2024 20:00:00 - 12/01/2024 21:00:00,BZN|IT-North,110
12/01/2024 21:00:00 - 12/01/2024 22:00:00,BZN|IT-North,107
12/01/2024 22:00:00 - 12/01/2024 23:00:00,BZN|IT-North,105
12/01/2024 23:00:00 - 13/01/2024 00:00:00,BZN|IT-North,95.49
13/01/2024 00:00:00 - 13/01/2024 01:00:00,BZN|IT-North,92.8
13/01/2024 01:00:00 - 13/01/2024 02:00:00,BZN|IT-North,87.7
13/01/2024 02:00:00 - 13/01/2024 03:00:00,BZN|IT-North,87.08
13/01/2024 03:00:00 - 13/01/2024 04:00:00,BZN|IT-North,85.59
13/01/2024 04:00:00 - 13/01/2024 05:00:00,BZN|IT-North,83.4
13/01/2024 05:00:00 - 13/01/2024 06:00:00,BZN|IT-North,83.9
13/01/2024 06:00:00 - 13/01/2024 07:00:00,BZN|IT-North,95.52
13/01/2024 07:00:00 - 13/01/2024 08:00:00,BZN|IT-North,104.93
13/01/2024 08:00:00 - 13/01/2024 09:00:00,BZN|IT-North,107.63
13/01/2024 09:00:00 - 13/01/2024 10:00:00,BZN|IT-North,104.93
13/01/2024 10:00:00 - 13/01/2024 11:00:00,BZN|IT-North,101
13/01/2024 11:00:00 - 13/01/2024 12:00:00,BZN|IT-North,88.4
13/01/2024 12:00:00 - 13/01/2024 13:00:00,BZN|IT-North,84.85
13/01/2024 13:00:00 - 13/01/2024 14:00:00,BZN|IT-North,83.4
13/01/2024 14:00:00 - 13/01/2024 15:00:00,BZN|IT-North,92.23
13/01/2024 15:00:00 - 13/01/2024 16:00:00,BZN|IT-North,101.59
13/01/2024 16:00:00 - 13/01/2024 17:00:00,BZN|IT-North,107.92
13/01/2024 17:00:00 - 13/01/2024 18:00:00,BZN|IT-North,121.59
13/01/2024 18:00:00 - 13/01/2024 19:00:00,BZN|IT-North,125
13/01/2024 19:00:00 - 13/01/2024 20:00:00,BZN|IT-North,124.51
13/01/2024 20:00:00 - 13/01/2024 21:00:00,BZN|IT-North,115.14
13/01/2024 21:00:00 - 13/01/2024 22:00:00,BZN|IT-North,105
13/01/2024 22:00:00 - 13/01/2024 23:00:00,BZN|IT-North,101.96
13/01/2024 23:00:00 - 14/01/2024 00:00:00,BZN|IT-North,95.52
14/01/2024 00:00:00 - 14/01/2024 01:00:00,BZN|IT-North,103
14/01/2024 01:00:00 - 14/01/2024 02:00:00,BZN|IT-North,100.65
14/01/2024 02:00:00 - 14/01/2024 03:00:00,BZN|IT-North,99.83
14/01/2024 03:00:00 - 14/01/2024 04:00:00,BZN|IT-North,96.79
14/01/2024 04:00:00 - 14/01/2024 05:00:00,BZN|IT-North,96.25
14/01/2024 05:00:00 - 14/01/2024 06:00:00,BZN|IT-North,95.25
14/01/2024 06:00:00 - 14/01/2024 07:00:00,BZN|IT-North,103.43
14/01/2024 07:00:00 - 14/01/2024 08:00:00,BZN|IT-North,104.73
14/01/2024 08:00:00 - 14/01/2024 09:00:00,BZN|IT-North,108.06
14/01/2024 09:00:00 - 14/01/2024 10:00:00,BZN|IT-North,108.06
14/01/2024 10:00:00 - 14/01/2024 11:00:00,BZN|IT-North,103
14/01/2024 11:00:00 - 14/01/2024 12:00:00,BZN|IT-North,103
14/01/2024 12:00:00 - 14/01/2024 13:00:00,BZN|IT-North,101.88
14/01/2024 13:00:00 - 14/01/2024 14:00:00,BZN|IT-North,96.04
14/01/2024 14:00:00 - 14/01/2024 15:00:00,BZN|IT-North,100
14/01/2024 15:00:00 - 14/01/2024 16:00:00,BZN|IT-North,104.74
14/01/2024 16:00:00 - 14/01/2024 17:00:00,BZN|IT-North,105
14/01/2024 17:00:00 - 14/01/2024 18:00:00,BZN|IT-North,111
14/01/2024 18:00:00 - 14/01/2024 19:00:00,BZN|IT-North,117
14/01/2024 19:00:00 - 14/01/2024 20:00:00,BZN|IT-North,120
14/01/2024 20:00:00 - 14/01/2024 21:00:00,BZN|IT-North,115.14
14/01/2024 21:00:00 - 14/01/2024 22:00:00,BZN|IT-North,108.23
14/01/2024 22:00:00 - 14/01/2024 23:00:00,BZN|IT-North,101.51
14/01/2024 23:00:00 - 15/01/2024 00:00:00,BZN|IT-North,97.9
15/01/2024 00:00:00 - 15/01/2024 01:00:00,BZN|IT-North,85.5
15/01/2024 01:00:00 - 15/01/2024 02:00:00,BZN|IT-North,83.4
15/01/2024 02:00:00 - 15/01/2024 03:00:00,BZN|IT-North,84.1
